attack,parameter_name,parameter_value,trial,success,time_seconds
wiener,key_bits,256,0,1,0.000027700
wiener,key_bits,256,1,1,0.000022900
wiener,key_bits,256,2,1,0.000027700
wiener,key_bits,256,3,1,0.000024200
wiener,key_bits,256,4,1,0.000022400
wiener,key_bits,256,5,1,0.000024800
wiener,key_bits,256,6,1,0.000032700
wiener,key_bits,256,7,1,0.000027100
wiener,key_bits,256,8,1,0.000024800
wiener,key_bits,256,9,1,0.000022200
wiener,key_bits,256,10,1,0.000020200
wiener,key_bits,256,11,1,0.000018500
wiener,key_bits,256,12,1,0.000023900
wiener,key_bits,256,13,1,0.000021300
wiener,key_bits,256,14,1,0.000022400
wiener,key_bits,256,15,1,0.000020100
wiener,key_bits,256,16,1,0.000020800
wiener,key_bits,256,17,1,0.000017400
wiener,key_bits,256,18,1,0.000018700
wiener,key_bits,256,19,1,0.000024100
wiener,key_bits,256,20,1,0.000030200
wiener,key_bits,256,21,1,0.000020400
wiener,key_bits,256,22,1,0.000018700
wiener,key_bits,256,23,1,0.000019600
wiener,key_bits,256,24,1,0.000020600
wiener,key_bits,256,25,1,0.000018900
wiener,key_bits,256,26,1,0.000032300
wiener,key_bits,256,27,1,0.000019400
wiener,key_bits,256,28,1,0.000018400
wiener,key_bits,256,29,1,0.000016600
wiener,key_bits,256,30,1,0.000021300
wiener,key_bits,256,31,1,0.000021300
wiener,key_bits,256,32,1,0.000019100
wiener,key_bits,256,33,1,0.000019900
wiener,key_bits,256,34,1,0.000017900
wiener,key_bits,256,35,1,0.000026400
wiener,key_bits,256,36,1,0.000022500
wiener,key_bits,256,37,1,0.000027400
wiener,key_bits,256,38,1,0.000018300
wiener,key_bits,256,39,1,0.000020800
wiener,key_bits,256,40,1,0.000032300
wiener,key_bits,256,41,1,0.000022900
wiener,key_bits,256,42,1,0.000016800
wiener,key_bits,256,43,1,0.000020200
wiener,key_bits,256,44,1,0.000021200
wiener,key_bits,256,45,1,0.000022800
wiener,key_bits,256,46,1,0.000017700
wiener,key_bits,256,47,1,0.000018000
wiener,key_bits,256,48,1,0.000027000
wiener,key_bits,256,49,1,0.000024700
wiener,key_bits,512,0,1,0.000072300
wiener,key_bits,512,1,1,0.000060400
wiener,key_bits,512,2,1,0.000066500
wiener,key_bits,512,3,1,0.000070500
wiener,key_bits,512,4,1,0.000068000
wiener,key_bits,512,5,1,0.000128700
wiener,key_bits,512,6,1,0.000062800
wiener,key_bits,512,7,1,0.000065100
wiener,key_bits,512,8,1,0.000061000
wiener,key_bits,512,9,1,0.000064300
