attack,parameter_name,parameter_value,n_trials,successes,mean_s,median_s,std_s,iqr_s
wiener,key_bits,256,50,50,0.000022350,0.000021300,0.000004128,0.000005400
wiener,key_bits,512,50,50,0.000066988,0.000065100,0.000020096,0.000010375
wiener,key_bits,1024,50,50,0.000196000,0.000186000,0.000050967,0.000023550
hastad,key_bits,256,50,50,0.000815098,0.000773350,0.000146706,0.000077325
hastad,key_bits,512,50,50,0.003709362,0.003638650,0.000214638,0.000182500
hastad,key_bits,1024,50,50,0.023014546,0.022766450,0.001357851,0.001170975
coppersmith,key_bits,256,20,20,0.006270535,0.004856800,0.005906030,0.000280300
bsgs,q_bits,16,50,50,0.000023880,0.000021700,0.000008514,0.000006650
bsgs,q_bits,20,50,50,0.000089312,0.000089500,0.000013623,0.000013900
bsgs,q_bits,24,50,50,0.000377582,0.000372100,0.000086299,0.000120325
pohlig_hellman,q_bits,20,50,50,0.000025486,0.000025000,0.000004423,0.000006100
pohlig_hellman,q_bits,25,50,50,0.000051076,0.000051200,0.000019068,0.000030650
pohlig_hellman,q_bits,30,50,50,0.000092558,0.000082950,0.000042430,0.000014550
pollard_rho,p_bits,16,50,50,0.001296844,0.001258450,0.000650206,0.000753525
pollard_rho,p_bits,18,50,50,0.002935916,0.002422850,0.001631306,0.002102675
pollard_rho,p_bits,20,50,50,0.005294816,0.004826250,0.002833546,0.003504675
smart,p_bits,12,50,50,0.000059706,0.000058450,0.000006648,0.000002850
smart,p_bits,14,50,50,0.000086770,0.000082800,0.000013467,0.000006275
smart,p_bits,16,50,50,0.000098482,0.000096250,0.000009452,0.000006075
